"Country Code",Region,Url,Clicks
MX,distrito_federal,http://extratone.com,1
TW,,http://extratone.com,4
TW,,http://extratone.com/members/admin,2
TW,,http://facebook.com/asphaltapostle,2
TW,,http://mailchimp.com,2
TW,,http://Twitter.com/AsphaltApostle,2
TW,,http://www.extratone.com/freq/,2
TW,,http://www.facebook.com,2
TW,,http://www.twitter.com/,2
TW,,https://discord.gg/0b9KQUKP858b0iZF,2
TW,,https://www.theguardian.com/technology/askjack/2016/jan/28/how-can-i-stop-someone-else-from-using-my-email-address,2
US,CA,http://extratone.com,18
US,CA,http://extratone.com/members/admin,16
US,CA,http://facebook.com/asphaltapostle,1
US,CA,http://mailchimp.com,8
US,CA,http://Twitter.com/AsphaltApostle,8
US,CA,http://www.extratone.com/freq/,8
US,CA,http://www.facebook.com,1
US,CA,http://www.twitter.com/,16
US,CA,https://www.theguardian.com/technology/askjack/2016/jan/28/how-can-i-stop-someone-else-from-using-my-email-address,16
US,NY,http://extratone.com,7
US,NY,http://facebook.com/asphaltapostle,7
US,NY,http://www.facebook.com,7
US,OR,https://discord.gg/0b9KQUKP858b0iZF,1
US,PA,http://extratone.com,1
US,PA,http://facebook.com/asphaltapostle,1
US,PA,http://mailchimp.com,1
US,PA,http://Twitter.com/AsphaltApostle,1
US,PA,http://www.extratone.com/freq/,1
US,PA,http://www.facebook.com,1
US,PA,https://discord.gg/0b9KQUKP858b0iZF,2
