id,action,user_auth_token_id,client_ip,auth_token_hash,created_at,path,user_agent
78836,rotate,2781,172.17.0.1,wcdh4...,2021-06-29 16:43:57 UTC,/t/markdown-inconsistencies-and-markdown-flavour/750/11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59"
78837,seen token,2781,172.17.0.1,wcdh4...,2021-06-29 16:44:00 UTC,/user_avatar/discuss.write.as/bluebirch/45/329_2.png,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59"
79546,rotate,2561,104.166.200.131,uB3H4...,2021-07-06 09:05:07 UTC,/user-api-key/new,Discourse/353 CFNetwork/1300.1 Darwin/21.0.0
78838,seen token,2781,172.17.0.1,wcdh4...,2021-06-29 16:44:00 UTC,/user_avatar/discuss.write.as/bluebirch/20/329_2.png,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.59"
79547,seen token,2561,104.166.200.131,uB3H4...,2021-07-06 09:05:07 UTC,/site/basic-info.json,Discourse/353 CFNetwork/1300.1 Darwin/21.0.0
77141,rotate,2678,104.166.200.131,bhHzV...,2021-05-27 22:36:36 UTC,/stylesheets/desktop_1_63ff731caa65f90c290f1e82ef7288920c681038.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.19 Safari/537.36"
77142,rotate,2678,104.166.200.131,wM9qu...,2021-05-27 22:37:38 UTC,/notifications,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.19 Safari/537.36"
77143,seen token,2678,104.166.200.131,wM9qu...,2021-05-27 22:37:42 UTC,/u/DavidBlue.json,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.19 Safari/537.36"
77144,rotate,2678,104.166.200.131,X0VA6...,2021-05-27 22:52:12 UTC,/manifest.webmanifest,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.19 Safari/537.36"
77145,seen token,2678,104.166.200.131,X0VA6...,2021-05-27 22:52:13 UTC,/message-bus/087478e9b775489faba3f826a20a70dc/poll,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.19 Safari/537.36"
